date,open,high,low,close,volume
2018-10-31,152.0439,154.7439,152.0339,153.3139,73828635.0
2018-11-01,153.5739,155.7339,152.2739,155.5539,52706823.0
2018-11-02,155.0239,156.0439,151.7139,152.8739,75966781.0
2018-11-05,153.1039,153.1539,150.5739,152.4539,39573533.0
2018-11-06,152.4239,154.6839,152.2139,153.7339,34410390.0
2018-11-07,155.7439,159.0739,155.3639,159.0739,51169614.0
2018-11-08,158.2539,158.7939,157.1239,157.9539,40296538.0
2018-11-09,156.3239,156.7439,153.6539,155.0139,50602710.0
2018-11-12,153.8239,154.1339,149.6739,149.8239,62578371.0
2018-11-13,150.6439,152.9739,149.4939,149.9639,64128079.0
2018-11-14,151.5839,152.1939,147.7439,148.6939,75270714.0
2018-11-15,148.3339,152.0339,146.9539,151.5839,73254349.0
2018-11-16,149.9839,151.8039,149.2739,150.9939,65390675.0
2018-11-19,150.2339,150.3939,145.0339,145.5539,67280478.0
2018-11-20,141.8639,144.8739,140.6239,142.6539,102652794.0
2018-11-21,144.7839,145.4639,142.7239,143.8639,42965839.0
2018-11-23,142.5839,144.3339,142.5839,142.7039,23503729.0
2018-11-26,144.9339,146.4639,144.2539,146.3839,42012633.0
2018-11-27,145.4939,147.3439,144.6739,146.9339,36608063.0
2018-11-28,148.1139,152.1939,146.9639,152.1939,70140986.0
2018-11-29,151.4939,152.7539,150.3139,151.6439,44885711.0
2018-11-30,151.8739,152.9639,151.0339,152.8639,36722760.0
2018-12-03,156.5939,156.8039,153.0039,155.8239,50771695.0
2018-12-04,154.8739,155.4039,149.0139,149.2139,70594743.0
2018-12-06,145.9539,150.4039,145.2639,150.3839,71715526.0
2018-12-07,149.6239,150.6139,144.3539,144.8739,80432176.0
2018-12-10,144.6039,147.2739,142.9039,146.5639,73960758.0
2018-12-11,149.1539,149.2639,145.7239,147.1039,59058296.0
2018-12-12,149.5539,151.0939,148.4539,148.5439,53779992.0
2018-12-13,149.5539,150.3139,147.5239,148.5939,46377864.0
2018-12-14,146.6839,147.3039,144.1939,144.5739,56547419.0
2018-12-17,143.9039,145.1639,139.6639,140.9239,74834076.0
2018-12-18,142.1639,143.4439,140.5339,141.9139,63642120.0
