date,open,high,low,close,volume
2014-01-14,116.7135,118.1935,116.3735,118.0935,105016100.0
2014-01-15,118.5235,119.3635,118.1335,119.0835,98525800.0
2014-01-16,118.7035,119.0835,118.2535,118.8435,72290600.0
2014-01-17,118.5235,118.8735,117.7435,118.0635,107848700.0
2014-01-21,119.1235,119.1935,117.4735,118.6035,88621200.0
2014-01-22,118.9135,118.9935,118.3335,118.7235,61270900.0
2014-01-23,117.7935,117.8235,116.2435,117.2135,132496900.0
2014-01-24,116.0235,116.0835,113.2535,113.3135,208677100.0
2014-01-27,113.4835,113.9435,111.5435,112.4335,180843100.0
2014-01-28,112.5635,113.7235,112.5435,113.4935,110463200.0
2014-01-29,112.0035,112.9735,111.3035,111.7735,216597300.0
2014-01-30,113.2535,114.2335,112.6835,113.6535,118938100.0
2014-01-31,111.4335,113.7135,111.3435,112.6035,194677900.0
2014-02-03,112.3935,112.7935,108.2535,108.5935,254837100.0
2014-02-04,109.3735,110.2635,108.5335,109.8135,165012400.0
2014-02-05,109.2035,109.9835,108.1335,109.5935,164230500.0
2014-02-06,110.0035,111.9035,109.6435,111.9035,132877600.0
2014-02-07,112.7335,114.2935,112.1535,114.1035,170787200.0
2014-02-10,114.1235,114.4935,113.6335,114.4335,92218800.0
2014-02-11,114.5835,116.8635,114.4635,116.4035,117814100.0
2014-02-12,116.6735,117.2535,116.1335,116.4935,94717700.0
2014-02-13,115.2635,117.6235,115.2535,117.4335,100542200.0
2014-02-14,117.2635,118.7835,117.0935,118.4435,96498400.0
2014-02-18,118.6035,118.9135,118.0735,118.6635,80460900.0
2014-02-19,118.1835,119.3735,117.2935,117.4435,126524300.0
2014-02-20,117.6935,118.9435,117.0235,118.5235,104998100.0
2014-02-21,118.8735,119.3135,118.2235,118.3135,118116400.0
2014-02-24,118.7035,120.5735,118.6235,119.3335,114063900.0
2014-02-25,119.4835,120.0135,118.6535,119.2635,117085000.0
2014-02-26,119.5335,120.0235,118.7535,119.2735,98677200.0
2014-02-27,119.0035,120.2935,118.7935,120.2435,93880800.0
2014-02-28,120.2135,121.5735,119.4735,120.7135,150842000.0
2014-03-03,119.0735,119.8735,118.1735,119.4035,167748500.0
2014-03-04,121.2135,122.4035,121.1735,122.0035,167545900.0
2014-03-05,122.1635,122.4935,121.8735,122.1735,88376900.0
2014-03-06,122.6335,123.0335,122.2035,122.6035,82516500.0
2014-03-07,123.3835,123.3835,121.8535,122.6835,114513500.0
2014-03-10,122.3935,122.6535,121.5035,122.5835,74939200.0
2014-03-11,122.8635,123.1335,121.2235,121.6535,99009100.0
2014-03-12,120.7435,121.7735,120.3235,121.7035,104824400.0
2014-03-13,122.2635,122.4135,119.0835,119.6035,155014300.0
2014-03-14,119.2735,120.2235,118.8635,119.0835,153919600.0
2014-03-17,120.0135,121.1935,119.9335,120.7535,98359500.0
2014-03-18,121.1335,122.3335,120.9335,122.0835,101804600.0
2014-03-19,122.1035,122.3635,119.8935,121.0835,176267300.0
2014-03-20,120.6735,122.3135,120.3435,122.1735,117241000.0
2014-03-21,122.9581,124.2681,121.2781,121.4481,163128000.0
2014-03-24,122.0881,122.3181,119.8681,120.6781,121411000.0
2014-03-25,121.6181,122.1881,120.5181,121.5581,103852000.0
2014-03-26,122.2881,122.5881,120.1681,120.2181,119843000.0
2014-03-27,119.9981,120.5881,119.1481,119.8281,142383000.0
2014-03-28,120.3581,121.6681,120.2481,120.7381,101642000.0
2014-03-31,121.9181,122.5481,120.7681,122.2581,99745000.0
2014-04-01,122.8681,123.6081,122.2481,123.4981,89193000.0
2014-04-02,123.7381,124.3781,123.3881,124.1281,78774000.0
2014-04-03,124.4181,124.4681,123.2981,123.8781,77435000.0
2014-04-04,124.9081,124.9481,121.3481,121.6481,169381000.0
2014-04-07,121.1981,121.5081,119.2081,119.5881,140803000.0
2014-04-08,119.5081,120.6481,118.8381,120.3481,112660000.0
2014-04-09,120.8481,122.3981,120.3081,122.3381,100254000.0
2014-04-10,122.3281,122.4181,118.1781,118.4081,172959000.0
2014-04-11,117.3881,118.6681,116.5581,116.7581,167251000.0
2014-04-14,118.1781,118.6181,116.6881,118.1881,132382000.0
2014-04-15,118.5681,119.5781,116.7581,119.4481,157093000.0
2014-04-16,120.7181,121.3881,119.8981,121.3781,105197000.0
2014-04-17,121.1281,122.1581,120.8081,121.6381,105255000.0
2014-04-21,121.6881,122.3481,121.4581,122.2881,68329000.0
2014-04-22,122.4781,123.6481,122.3781,123.1381,85790000.0
2014-04-23,123.0681,123.1681,122.5481,122.6981,73869000.0
2014-04-24,123.6181,123.6381,122.1781,123.0781,88170000.0
2014-04-25,122.4681,122.5781,121.1181,121.5381,100380000.0
2014-04-28,122.2981,122.9381,120.2081,122.1281,135121000.0
2014-04-29,122.7281,123.2881,122.3281,122.9981,84098000.0
2014-04-30,122.6881,123.7481,122.4281,123.5581,101508000.0
2014-05-01,123.4681,124.0881,122.9781,123.5781,93019000.0
2014-05-02,123.5581,124.3881,123.0281,123.3081,98122000.0
2014-05-05,122.3881,123.7981,121.8681,123.6681,75883000.0
2014-05-06,123.2481,123.3781,121.9881,122.0281,85454000.0
2014-05-07,122.6581,123.2181,121.2581,123.1281,106500000.0
2014-05-08,122.9581,124.2981,122.3281,122.9281,93618000.0
2014-05-09,122.9581,123.2881,122.0781,123.2081,83679000.0
2014-05-12,124.0481,125.1281,123.2481,125.0381,86940000.0
2014-05-13,125.2881,125.6681,125.0181,125.2081,66454000.0
2014-05-14,125.0381,125.1281,124.0381,124.3081,72367000.0
2014-05-15,123.9281,123.9681,121.7281,122.6481,154956000.0
2014-05-16,122.7581,123.3781,121.9681,123.2981,97458000.0
2014-05-19,122.9381,124.1381,122.7681,123.9881,63839000.0
2014-05-20,123.8981,123.9181,122.3181,122.7981,111644000.0
2014-05-21,123.3381,124.4681,123.3081,124.3781,89093000.0
2014-05-22,124.4281,125.2281,124.1081,124.8381,61549000.0
2014-05-23,125.0081,125.7281,124.8381,125.5981,61092800.0
2014-05-27,126.3081,126.8281,126.1981,126.7681,72010000.0
2014-05-28,126.7681,127.0681,126.3081,126.6281,66723000.0
2014-05-29,127.0681,127.6481,126.5781,127.6181,64377000.0
2014-05-30,127.4381,128.0481,127.2781,127.9281,76316000.0
2014-06-02,128.1981,128.2381,127.2181,128.1481,64656000.0
2014-06-03,127.6781,128.1481,127.4981,128.0481,65047000.0
2014-06-04,127.7181,128.5481,127.5181,128.4381,55529000.0
2014-06-05,128.6581,129.8981,127.9481,129.6981,92103000.0
2014-06-06,130.1181,130.6781,130.0281,130.6281,78696000.0
2014-06-09,130.5981,131.2981,130.4181,130.8281,65119000.0
2014-06-10,130.5881,130.8881,130.1681,130.8481,57129000.0
2014-06-11,130.1481,130.3681,129.7281,130.1681,68772000.0
2014-06-12,129.9381,130.0481,128.3581,128.7881,106350000.0
2014-06-13,129.1681,129.5681,128.5481,129.3781,82017000.0
2014-06-16,129.1381,129.9481,128.9081,129.5381,87424000.0
2014-06-17,129.2681,130.2181,129.0581,130.0781,84834000.0
2014-06-18,130.0781,131.6181,129.6481,131.5081,105267000.0
2014-06-19,131.6781,131.8481,131.0481,131.7281,85929000.0
2014-06-20,132.2148,132.2848,131.8848,132.1248,100587000.0
2014-06-23,132.1748,132.2348,131.7048,132.0648,70611000.0
2014-06-24,131.7148,132.6848,130.6648,130.8848,96237000.0
2014-06-25,130.4748,131.9648,130.4348,131.7648,82782000.0
2014-06-26,131.7948,131.8148,130.3148,131.6248,84312000.0
2014-06-27,131.1648,132.0648,131.0748,132.0048,71445100.0
2014-06-30,131.8848,132.3548,131.7148,131.9048,70504000.0
2014-07-01,132.3848,133.8148,132.3148,133.2148,90470000.0
2014-07-02,133.2348,133.6648,133.1448,133.4148,52475000.0
2014-07-03,133.9748,134.4748,133.8248,134.3848,52938800.0
2014-07-07,134.0048,134.1648,133.4048,133.6948,61696000.0
2014-07-08,133.3348,133.4048,131.9448,132.4248,108143000.0
2014-07-09,132.9148,133.4848,132.4948,133.3048,72992000.0
2014-07-10,131.4048,133.0448,131.2448,132.5248,99040000.0
2014-07-11,132.4048,132.9348,131.9648,132.7948,64243000.0
2014-07-14,133.7948,134.0448,133.6248,133.7848,58658000.0
2014-07-15,133.9048,134.2848,132.5448,133.4148,111307000.0
2014-07-16,134.2948,134.4448,133.6048,134.1448,80073000.0
2014-07-17,133.5348,134.2848,131.6148,131.8948,145398000.0
2014-07-18,132.5348,134.0948,132.4248,133.8948,124330000.0
2014-07-21,133.2748,133.6848,132.6148,133.5248,67592000.0
2014-07-22,134.1948,134.7448,134.0548,134.3848,67678000.0
2014-07-23,134.6848,135.0348,134.2848,134.8248,65612000.0
2014-07-24,135.0148,135.2448,134.6348,134.8348,56888000.0
2014-07-25,134.2748,134.4448,133.5148,133.9048,76837000.0
2014-07-28,133.9448,134.2748,132.8048,133.9848,69259000.0
2014-07-29,134.3548,134.6348,133.1048,133.1348,80466000.0
2014-07-30,133.8348,134.0948,132.3448,133.1648,104222000.0
2014-07-31,131.7948,131.9648,129.1548,129.2748,183479000.0
2014-08-01,128.7448,129.9448,127.7548,128.6848,189261000.0
2014-08-04,129.0548,130.4848,128.2348,130.0748,91340000.0
2014-08-05,129.2848,129.7848,127.4948,128.1948,152690000.0
2014-08-06,127.2948,129.0748,127.2648,128.2548,94818000.0
2014-08-07,129.1248,129.3148,126.7348,127.2148,135733000.0
2014-08-08,127.6448,129.5548,127.1348,129.4248,117014000.0
2014-08-11,130.1548,130.8448,129.8948,129.9848,74544000.0
2014-08-12,129.7948,130.3348,129.1248,129.7148,73632000.0
2014-08-13,130.4748,131.2448,130.1448,131.0248,69047000.0
2014-08-14,131.3448,131.9448,131.1648,131.9448,57371000.0
2014-08-15,132.6548,132.8348,130.4948,131.9048,139951000.0
2014-08-18,132.9848,133.6348,132.8748,133.5448,75424000.0
2014-08-19,134.0248,134.7248,133.6248,134.5748,59135000.0
2014-08-20,134.3048,135.3448,134.2648,135.1048,72763000.0
2014-08-21,135.2748,135.9448,135.1148,135.6848,67791000.0
2014-08-22,135.5248,135.8748,134.9248,135.3748,76107000.0
2014-08-25,136.3248,136.7748,135.3348,136.3848,63855000.0
2014-08-26,136.5148,137.0048,136.4648,136.5148,47298000.0
2014-08-27,136.6148,136.7548,136.1248,136.4348,47874000.0
2014-08-28,135.7748,136.4548,135.5748,136.3248,58330000.0
2014-08-29,136.6348,136.9148,136.0048,136.8948,65907000.0
2014-09-02,137.1548,137.1848,136.0448,136.7948,72426000.0
2014-09-03,137.5648,137.5948,136.4048,136.6848,57462000.0
2014-09-04,137.0248,137.7648,135.8448,136.3948,85236000.0
2014-09-05,136.3548,137.3748,135.5948,137.2948,102177000.0
2014-09-08,137.1048,137.3948,136.1848,136.7748,64146000.0
2014-09-09,136.5948,136.7348,135.0948,135.5048,88591000.0
2014-09-10,135.6148,136.3848,134.9548,136.2548,67251000.0
2014-09-11,135.4548,136.5148,135.3048,136.4848,66774400.0
2014-09-12,136.2848,136.3048,134.7448,135.3148,117479000.0
2014-09-15,135.3448,135.5048,134.5648,135.1648,76401000.0
2014-09-16,134.7948,137.0248,134.6848,136.6648,116201000.0
2014-09-17,136.9548,137.8648,135.9348,136.9348,151266000.0
2014-09-18,137.5448,138.0348,137.2848,138.0048,94990000.0
2014-09-19,138.644,139.024,137.414,137.824,121649000.0
2014-09-22,137.474,137.504,135.854,136.274,125553000.0
2014-09-23,135.554,136.384,135.074,135.134,111393000.0
2014-09-24,135.164,136.814,134.644,136.684,107276000.0
2014-09-25,136.164,136.174,133.394,133.464,150300000.0
2014-09-26,133.824,135.514,133.544,135.024,103547000.0
2014-09-29,133.324,135.014,133.174,134.664,95112000.0
2014-09-30,134.814,135.424,133.734,134.144,131302000.0
2014-10-01,133.824,133.894,131.034,131.474,177798000.0
2014-10-02,131.304,132.184,129.474,131.504,157285000.0
2014-10-03,132.804,134.064,132.204,133.644,121569000.0
2014-10-06,134.464,134.724,132.704,133.414,104778000.0
2014-10-07,132.404,132.844,130.344,130.384,147913000.0
2014-10-08,130.494,134.044,129.484,133.764,186461000.0
2014-10-09,133.454,133.724,129.704,129.864,210705000.0
2014-10-10,129.814,130.774,127.614,127.664,221909000.0
2014-10-13,127.584,128.274,124.424,124.534,230939000.0
2014-10-14,125.544,126.944,124.164,124.824,215847000.0
2014-10-15,122.284,124.814,119.044,123.554,380715008.0
2014-10-16,120.184,124.704,120.014,123.394,270391008.0
2014-10-17,125.544,126.874,124.744,125.594,214625000.0
2014-10-20,125.254,127.574,125.194,127.424,130011000.0
2014-10-21,128.804,131.324,128.604,131.194,154949000.0
2014-10-22,131.534,132.034,129.734,129.814,151822000.0
2014-10-23,131.744,133.324,131.384,132.054,154944000.0
2014-10-24,132.374,133.614,131.614,133.554,117927000.0
2014-10-27,132.854,133.574,132.154,133.284,82954000.0
2014-10-28,133.944,135.544,133.854,135.534,106255600.0
2014-10-29,135.674,136.244,133.924,135.234,142557000.0
2014-10-30,134.704,137.074,134.524,136.504,113330000.0
2014-10-31,138.904,138.944,137.894,138.784,146903000.0
2014-11-03,139.044,139.574,138.434,138.894,93734000.0
2014-11-04,138.354,138.724,137.184,138.194,93343000.0
2014-11-05,139.664,139.714,138.574,139.464,91709000.0
2014-11-06,139.514,140.384,138.764,140.274,107089000.0
2014-11-07,140.294,140.724,139.734,140.464,89540000.0
2014-11-10,140.504,141.164,140.254,141.104,66319000.0
2014-11-11,141.184,141.434,140.774,141.304,54499000.0
2014-11-12,140.474,141.364,140.434,141.084,90120000.0
2014-11-13,141.284,141.954,140.334,141.314,85358000.0
2014-11-14,141.224,141.614,140.844,141.364,80418000.0
2014-11-17,140.974,141.704,140.774,141.494,80441000.0
2014-11-18,141.564,143.044,141.564,142.674,76068000.0
2014-11-19,142.434,142.674,141.424,142.344,82373000.0
2014-11-20,141.384,142.834,141.304,142.704,72840000.0
2014-11-21,144.764,144.964,143.104,143.804,142327000.0
2014-11-24,144.294,144.514,144.034,144.384,65881000.0
2014-11-25,144.664,144.914,143.924,144.234,79108000.0
2014-11-26,144.414,144.884,144.154,144.764,61928400.0
2014-11-28,144.614,144.994,144.034,144.324,57890100.0
2014-12-01,143.524,143.664,142.504,142.884,103968400.0
2014-12-02,142.934,144.464,142.904,144.214,72105500.0
2014-12-03,144.424,145.274,144.224,145.014,69450000.0
2014-12-04,144.664,145.394,143.824,144.784,89928200.0
2014-12-05,144.994,145.594,144.674,145.124,91025500.0
2014-12-08,144.644,145.244,143.054,143.734,108588200.0
2014-12-09,141.494,143.724,141.034,143.594,125180100.0
2014-12-10,143.034,143.104,140.054,140.284,154761600.0
2014-12-11,141.004,143.314,140.834,141.314,159012800.0
2014-12-12,139.764,140.944,137.974,138.014,202330200.0
2014-12-15,139.104,139.654,135.904,136.634,189965800.0
2014-12-16,136.634,139.524,134.984,135.034,259543800.0
2014-12-17,135.564,139.464,135.414,138.914,253754500.0
2014-12-18,141.864,150.094,141.044,143.904,247780600.0
2014-12-19,144.6889,145.5889,143.8689,144.7789,245084600.0
2014-12-22,145.0089,145.7289,144.7189,145.7289,148318900.0
2014-12-23,146.4289,146.4889,145.6589,146.0089,122167900.0
2014-12-24,146.2789,146.5989,145.9789,146.0289,42963400.0
2014-12-26,146.5689,147.1089,146.5089,146.6989,57326700.0
2014-12-29,146.4789,147.2289,146.3989,146.9789,79643900.0
2014-12-30,146.4689,146.6289,145.7689,145.8589,73540800.0
2014-12-31,146.2489,146.4489,143.6489,143.7989,130333800.0
2015-01-02,144.6389,145.1389,142.4389,143.6889,121465900.0
2015-01-05,142.4289,142.6289,139.6089,139.9789,169632600.0
2015-01-06,140.3489,140.9789,137.1189,138.0789,209151400.0
2015-01-07,139.6789,140.9789,139.1389,140.5689,125346700.0
2015-01-08,142.2689,144.4189,142.2489,144.1589,147217800.0
2015-01-09,144.6589,144.6789,141.7689,142.5089,158567300.0
2015-01-12,142.6689,142.8589,140.1789,140.9089,144396100.0
2015-01-13,142.3789,143.7389,138.7689,140.3389,214553300.0
2015-01-14,137.9089,139.3589,136.8289,139.1189,192991100.0
2015-01-15,139.8889,140.2689,137.1389,137.2789,176613900.0
2015-01-16,137.0289,140.0789,136.8089,139.8889,211879600.0
2015-01-20,140.6589,140.9789,138.4289,140.3189,130991100.0
2015-01-21,139.7589,141.9189,139.1989,141.3389,122942700.0
2015-01-22,142.2489,144.5189,140.5889,144.3589,174356000.0
2015-01-23,144.0489,144.3589,143.0689,143.2289,117516800.0
2015-01-26,142.9689,143.8189,142.1089,143.7089,92009700.0
2015-01-27,141.2289,142.3789,139.9989,140.9989,134044600.0
2015-01-28,142.4289,142.5489,138.1689,138.3989,168514300.0
2015-01-29,138.6389,140.5589,136.9389,140.2489,173585400.0
2015-01-30,138.8289,140.4289,137.3889,137.7089,197729700.0
2015-02-02,138.3089,140.2889,136.1189,140.1789,163107000.0
2015-02-03,141.2589,143.1089,140.8089,143.0989,124212900.0
2015-02-04,142.1789,143.6389,141.7689,142.3189,134306700.0
2015-02-05,143.1189,144.5589,143.0289,144.3789,97953200.0
2015-02-06,144.8189,145.4989,143.1789,143.8089,119694900.0
2015-02-09,143.0289,143.8989,142.3989,142.8889,87219000.0
2015-02-10,144.1389,145.3789,142.9389,145.0689,96164200.0
2015-02-11,144.8689,145.7089,144.0889,145.1889,91087800.0
2015-02-12,146.1489,147.2489,145.2289,147.1789,97545900.0
2015-02-13,147.3289,148.0989,147.0189,148.0389,93670400.0
2015-02-17,147.6589,148.5789,147.3589,148.3689,76968200.0
2015-02-18,147.9189,148.4789,147.5989,148.3889,80652900.0
2015-02-19,147.6689,148.6789,147.4989,148.2389,91462500.0
2015-02-20,147.7389,149.5889,146.9889,149.4989,140896400.0
